threshold,scope,bin,predictions,labels,tp,fp,fn,precision,recall,f1
0.5,distance_bins,30-50 m,,1088,452,,636,,0.41544117647058826,
0.5,distance_bins,50-75 m,,1060,246,,814,,0.2320754716981132,
0.5,distance_bins,75+ m,,102,0,,102,,0.0,
0.5,point_bins,0-4 points,,932,0,,932,,0.0,
0.5,point_bins,5-9 points,,204,3,,201,,0.014705882352941176,
0.5,point_bins,10-19 points,,324,43,,281,,0.13271604938271606,
0.5,point_bins,20-49 points,,549,204,,345,,0.37158469945355194,
0.5,point_bins,50+ points,,2328,2154,,174,,0.9252577319587629,
0.6,class,PEDESTRIAN,3,0,0,3,0,0.0,0.0,0.0
0.6,class,VEHICLE,2182,4337,2177,5,2160,0.9977085242896425,0.5019598801014526,0.6678938487498083
0.6,distance_bins,0-30 m,,2087,1634,,453,,0.7829420220412074,
0.6,distance_bins,30-50 m,,1088,396,,692,,0.3639705882352941,
0.6,distance_bins,50-75 m,,1060,147,,913,,0.13867924528301886,
0.6,distance_bins,75+ m,,102,0,,102,,0.0,
0.6,point_bins,0-4 points,,932,0,,932,,0.0,
0.6,point_bins,5-9 points,,204,1,,203,,0.004901960784313725,
0.6,point_bins,10-19 points,,324,15,,309,,0.046296296296296294,
0.6,point_bins,20-49 points,,549,119,,430,,0.2167577413479053,
0.6,point_bins,50+ points,,2328,2042,,286,,0.877147766323024,
0.7,class,VEHICLE,1812,4337,1812,0,2525,1.0,0.41780032280378143,0.5893641242478452
0.7,distance_bins,0-30 m,,2087,1505,,582,,0.7211308097747964,
0.7,distance_bins,30-50 m,,1088,250,,838,,0.22977941176470587,
0.7,distance_bins,50-75 m,,1060,57,,1003,,0.05377358490566038,
0.7,distance_bins,75+ m,,102,0,,102,,0.0,
0.7,point_bins,0-4 points,,932,0,,932,,0.0,
0.7,point_bins,5-9 points,,204,0,,204,,0.0,
0.7,point_bins,10-19 points,,324,3,,321,,0.009259259259259259,
0.7,point_bins,20-49 points,,549,31,,518,,0.056466302367941715,
0.7,point_bins,50+ points,,2328,1778,,550,,0.7637457044673539,
